City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Casablanca,Morocco,33.5931,-7.6164,1762477200,17.6,14.8,Partly Cloudy,1,159.85,17.75,50.0,12.95
Kampala,Uganda,0.3156,32.5656,1762477200,17.4,3.6,Patchy rain nearby,3,774.85,15.65,41.0,55.75
Lagos,Nigeria,6.4531,3.3958,1762479000,27.2,13.3,Clear,3,1673.85,39.55,18.0,42.85
Accra,Ghana,5.55,-0.2167,1762479000,26.4,10.4,Partly Cloudy,1,412.85,11.05,32.0,6.65
Nairobi,Kenya,-1.2833,36.8167,1762479000,15.6,10.4,Clear,1,258.85,12.15,29.0,12.85
Johannesburg,South Africa,-26.2,28.0833,1762478100,15.6,12.6,Patchy rain nearby,2,232.85,29.15,74.0,30.85
Cairo,Egypt,30.05,31.25,1762477200,21.0,6.5,Clear,3,488.85,65.55,1.0,41.65
Addis Ababa,Ethiopia,9.0333,38.7,1762479000,11.6,3.6,Clear,2,456.85,14.25,41.0,36.55
Dar Es Salaam,Tanzania,-6.8,39.2833,1762477200,24.7,7.9,Patchy rain nearby,1,106.85,6.15,24.0,8.85
Algiers,Algeria,36.7631,3.0506,1762479000,17.7,17.3,Patchy rain nearby,1,136.85,10.35,70.0,5.85
Lagos,Nigeria,6.4531,3.3958,1762563600,26.9,20.5,Light rain shower,3,1040.85,38.95,15.0,49.35
Accra,Ghana,5.55,-0.2167,1762561800,25.2,12.2,Overcast,1,215.85,9.55,34.0,7.45
Nairobi,Kenya,-1.2833,36.8167,1762563600,17.0,12.6,Partly cloudy,1,259.85,9.85,28.0,12.05
Johannesburg,South Africa,-26.2,28.0833,1762563600,15.0,13.3,Partly Cloudy,1,190.85,13.85,56.0,14.55
Cairo,Egypt,30.05,31.25,1762562700,20.8,13.7,Clear,2,267.85,47.95,18.0,27.15
Casablanca,Morocco,33.5931,-7.6164,1762563600,17.5,12.2,Clear,1,150.85,14.85,55.0,12.15
Addis Ababa,Ethiopia,9.0333,38.7,1762563600,10.6,3.6,Clear,2,560.85,12.05,37.0,31.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1762560000,24.5,6.1,Clear,1,109.85,6.65,26.0,8.45
Kampala,Uganda,0.3156,32.5656,1762563600,16.8,3.6,Mist,2,1076.85,11.95,27.0,34.15
Algiers,Algeria,36.7631,3.0506,1762563600,17.9,8.6,Partly Cloudy,1,149.85,22.05,53.0,6.75
Lagos,Nigeria,6.4531,3.3958,1762648200,26.1,18.0,Clear,2,726.85,22.45,26.0,27.15
Accra,Ghana,5.55,-0.2167,1762648200,26.2,13.7,Clear,1,340.85,22.45,37.0,14.95
Nairobi,Kenya,-1.2833,36.8167,1762648200,17.0,12.6,Partly cloudy,1,234.85,9.95,24.0,8.75
Johannesburg,South Africa,-26.2,28.0833,1762648200,15.3,6.8,Patchy rain nearby,3,531.85,79.65,14.0,58.95
Cairo,Egypt,30.05,31.25,1762648200,21.1,19.4,Clear,2,267.85,31.95,44.0,19.55
Casablanca,Morocco,33.5931,-7.6164,1762648200,15.1,18.7,Partly cloudy,1,130.85,11.15,65.0,9.55
Addis Ababa,Ethiopia,9.0333,38.7,1762648200,11.3,3.6,Partly cloudy,2,457.85,8.85,47.0,25.55
Dar Es Salaam,Tanzania,-6.8,39.2833,1762648200,24.5,6.1,Partly Cloudy,1,110.85,6.15,22.0,8.15
Kampala,Uganda,0.3156,32.5656,1762648200,20.3,4.0,Light rain shower,2,632.85,10.65,33.0,38.55
Algiers,Algeria,36.7631,3.0506,1762648200,15.2,25.9,Light rain,1,128.85,5.25,70.0,3.65
Lagos,Nigeria,6.4531,3.3958,1762734600,27.1,14.8,Clear,2,579.85,18.95,30.0,24.75
Accra,Ghana,5.55,-0.2167,1762734600,27.4,9.0,Partly cloudy,1,320.85,12.85,31.0,8.35
Nairobi,Kenya,-1.2833,36.8167,1762734600,15.3,9.0,Partly cloudy,2,309.85,16.25,22.0,16.65
Johannesburg,South Africa,-26.2,28.0833,1762734600,15.2,13.3,Patchy rain nearby,3,264.85,41.95,69.0,44.85
Cairo,Egypt,30.05,31.25,1762734600,21.1,20.2,Partly cloudy,2,205.85,26.65,52.0,16.55
Casablanca,Morocco,33.5931,-7.6164,1762734600,12.2,8.3,Overcast,1,159.85,16.85,49.0,11.55
Addis Ababa,Ethiopia,9.0333,38.7,1762734600,13.2,3.6,Partly cloudy,2,497.85,11.25,46.0,31.95
Dar Es Salaam,Tanzania,-6.8,39.2833,1762734600,24.9,4.0,Light rain shower,1,103.85,6.05,16.0,6.45
Kampala,Uganda,0.3156,32.5656,1762734600,21.4,4.0,Patchy rain nearby,4,628.85,22.45,36.0,77.65
Algiers,Algeria,36.7631,3.0506,1762734600,11.4,6.1,Partly Cloudy,1,265.85,50.25,13.0,11.95
Lagos,Nigeria,6.4531,3.3958,1762821000,26.1,16.6,Clear,2,491.85,14.95,34.0,22.15
Accra,Ghana,5.55,-0.2167,1762821000,27.3,9.4,Clear,1,299.85,11.75,34.0,9.25
Nairobi,Kenya,-1.2833,36.8167,1762821000,17.3,9.4,Partly cloudy,1,283.85,14.05,33.0,14.35
Johannesburg,South Africa,-26.2,28.0833,1762821000,14.1,17.3,Patchy rain nearby,1,240.85,18.75,43.0,8.75
Cairo,Egypt,30.05,31.25,1762821000,22.1,14.0,Partly cloudy,2,272.85,44.95,30.0,23.95
Casablanca,Morocco,33.5931,-7.6164,1762821000,12.2,11.9,Clear,1,156.85,18.85,51.0,15.25
Addis Ababa,Ethiopia,9.0333,38.7,1762821000,14.1,3.6,Partly cloudy,2,563.85,11.35,52.0,32.15
Dar Es Salaam,Tanzania,-6.8,39.2833,1762821000,24.9,7.6,Cloudy,1,109.85,5.85,13.0,5.95
Kampala,Uganda,0.3156,32.5656,1762821000,21.2,5.4,Patchy rain nearby,2,455.85,10.85,44.0,38.95
Algiers,Algeria,36.7631,3.0506,1762821000,12.2,4.3,Clear,1,272.85,54.45,24.0,12.85
Lagos,Nigeria,6.4531,3.3958,1762907400,27.3,18.0,Clear,2,414.85,17.75,37.0,24.45
Accra,Ghana,5.55,-0.2167,1762907400,27.1,14.0,Partly Cloudy,1,236.85,9.75,39.0,10.15
Nairobi,Kenya,-1.2833,36.8167,1762907400,18.2,13.3,Partly cloudy,2,295.85,11.75,35.0,15.55
Johannesburg,South Africa,-26.2,28.0833,1762907400,17.0,3.6,Clear,4,1789.85,109.65,6.0,95.85
Cairo,Egypt,30.05,31.25,1762907400,18.2,11.2,Clear,2,350.85,61.05,19.0,24.95
Casablanca,Morocco,33.5931,-7.6164,1762907400,16.1,19.1,Clear,1,154.85,12.05,36.0,15.25
Addis Ababa,Ethiopia,9.0333,38.7,1762907400,9.7,3.6,Clear,2,609.85,10.75,46.0,31.15
Dar Es Salaam,Tanzania,-6.8,39.2833,1762907400,24.6,7.9,Patchy rain nearby,1,105.85,5.05,18.0,5.15
Kampala,Uganda,0.3156,32.5656,1762907400,19.2,5.0,Clear,2,397.85,9.15,42.0,29.35
Algiers,Algeria,36.7631,3.0506,1762907400,11.1,8.6,Clear,1,294.85,61.25,10.0,14.15
Lagos,Nigeria,6.4531,3.3958,1762993800,26.0,20.9,Patchy light rain with thunder,2,330.85,13.45,43.0,18.75
Accra,Ghana,5.55,-0.2167,1762993800,27.0,15.5,Partly cloudy,1,210.85,7.55,46.0,7.15
Nairobi,Kenya,-1.2833,36.8167,1762993800,15.1,11.5,Partly Cloudy,1,236.85,9.55,32.0,12.25
Johannesburg,South Africa,-26.2,28.0833,1762993800,18.1,4.3,Clear,4,1071.85,114.75,24.0,107.95
Cairo,Egypt,30.05,31.25,1762993800,19.4,9.4,Clear,2,452.85,56.45,8.0,29.05
Casablanca,Morocco,33.5931,-7.6164,1762993800,21.3,15.8,Patchy rain nearby,2,141.85,13.85,46.0,18.45
Addis Ababa,Ethiopia,9.0333,38.7,1762993800,14.2,4.0,Partly cloudy,2,502.85,7.65,47.0,23.45
Dar Es Salaam,Tanzania,-6.8,39.2833,1762993800,24.6,5.0,Patchy rain nearby,1,117.85,6.35,14.0,5.25
Kampala,Uganda,0.3156,32.5656,1762993800,19.8,6.1,Clear,2,522.85,10.65,50.0,37.95
Algiers,Algeria,36.7631,3.0506,1762993800,14.2,13.0,Clear,2,184.85,32.75,30.0,15.55
Lagos,Nigeria,6.4531,3.3958,1764214200,27.2,13.7,Cloudy,1,228.85,4.55,55.0,13.95
Accra,Ghana,5.55,-0.2167,1764214200,27.2,13.3,Partly cloudy,1,207.85,9.65,42.0,9.95
Nairobi,Kenya,-1.2833,36.8167,1764214200,13.4,6.1,Partly Cloudy,1,208.85,5.75,41.0,9.15
Johannesburg,South Africa,-26.2,28.0833,1764214200,17.1,4.7,Clear,3,429.85,65.15,13.0,47.45
Cairo,Egypt,30.05,31.25,1764214200,15.2,12.2,Clear,1,221.85,23.55,51.0,12.95
