Laptop Name,Price,Ratings,Description Link
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + usb light","₦ 93,060",4.1 out of 5,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-404631342.html
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,"₦ 197,999",4 out of 5,https://www.jumia.com.ng/hp-stream-11-intel-celeron-education-edition-4gb-ram-64gb-hdd-windows-10-pro-keyboard-usb-light-306844738.html
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + usb light","₦ 93,060",4.4 out of 5,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-404631264.html
Hp EliteBook 840 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 585,000",3.5 out of 5,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL4ID2WYNAFAMZ-461256143&return=%2Flaptops%2F
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 215,000",4.1 out of 5,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL5FNT3ENAFAMZ-540279924&return=%2Flaptops%2F
Hp STREAM 11 LAPTOP- CELERON-64GB 4D 4GB RAM Windows 10 PRO+ & USB Light For Keyboard,"₦ 148,500",4.3 out of 5,https://www.jumia.com.ng/stream-11-laptop-celeron-64gb-4d-4gb-ram-windows-10-pro-usb-light-for-keyboard-hp-mpg9581171.html
Hp EliteBook 840 G7 10th Gen Intel Core I5 Touchscreen 16GB RAM/512GB SSD Win 11 Pro,"₦ 524,700",4 out of 5,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL875J8INAFAMZ-703787343&return=%2Flaptops%2F
"Hp STREAM 11, INTEL CELERON, 4GB RAM,64GBSSD WINS 10","₦ 118,220",No ratings,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL7AYSGLNAFAMZ-719146197&return=%2Flaptops%2F
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + usb light ","₦ 94,000",4 out of 5,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-404631232.html
Hp Hp Hp EliteBook 840 G7 10th Gen Intel Core I5 Touchscreen 16GB RAM/512GB SSD Win 11 Pro,"₦ 529,200",4.1 out of 5,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL2AKKTENAFAMZ-139104903&return=%2Flaptops%2F
